,RNAi Phenotype Observed,Allele Phenotype Observed
WBGene00000071,N.A.,"food dependent growth variant, larval arrest, lethal, male mating defective, oocyte meiotic maturation variant, sterile"
WBGene00000072,transgene induced cosuppression variant,"associative memory defective, environmental stimuli induced gene expression variant, postsynaptic region morphology variant"
WBGene00000073,N.A.,N.A.
WBGene00000074,protein expression reduced,N.A.
WBGene00000075,"cell fate specification variant, maternal sterile, multiple anchor cells, organism development variant, sick",N.A.
WBGene00000076,"axon trajectory variant, distal tip cell migration variant, dumpy, excretory canal short, first polar body position variant, locomotion variant",N.A.
WBGene00000077,"alae variant, distal tip cell migration variant, excretory canal short, first polar body position variant",N.A.
WBGene00000078,"ammonium chloride adaptation defective, odorant adaptation variant, plate tap habituation variant, sodium acetate adaptation defective, sodium chloride adaptation defective",N.A.
WBGene00000079,"germ cell compartment expansion variant, germ cell compartment morphology variant, germ cell compartment size variant, germline nuclear positioning variant, larval arrest, molt defect, oogenesis variant, rachis morphology variant, reduced brood size","bag of worms, egg laying variant, protruding vulva, shortened life span, vulva development variant"
WBGene00000080,N.A.,"extended life span, lethal, RNA processing variant, sterile, vulva development variant"
WBGene00000081,"embryonic lethal, larval arrest, slow growth",N.A.
WBGene00000082,N.A.,"bursa morphology variant, male copulatory structure development variant, male fan morphology variant, male mating efficiency reduced, male ray morphology variant, male tail morphology variant"
WBGene00000083,"annulae morphology variant, avoids bacterial lawn, body length variant, clear, cuticle morphology variant, dumpy, engulfment variant, gene expression level reduced, larval arrest, late larval arrest, locomotion variant, molt defect, shortened life span, slow growth, small, thin","adult growth variant, annulae morphology variant, body width variant, cell size decreased, dumpy, growth rate variant, lethal, molt defect, shortened life span, small, sterile"
WBGene00000084,"expulsion variant, locomotion variant, protein degradation variant","aboc expulsion missing, constipated, defecation variant"
WBGene00000085,"expulsion variant, protein degradation variant, transgene expression increased","aboc expulsion missing, anterior body contraction defecation cycle variant, anterior body contraction variant, constipated, defecation variant, expulsion defective, synaptogenesis variant"
WBGene00000086,"aldicarb resistant, expulsion variant, growth rate variant, protein degradation variant","aboc expulsion missing, anterior body contraction defecation cycle variant, constipated, defecation variant, expulsion defective, extended life span"
WBGene00000088,"avoids bacterial lawn, embryonic lethal, expulsion variant, extended life span, fat content reduced, gene expression level high, gonad development variant, increased pathogen accumulation, larval arrest, locomotion variant, male gonad development variant, male somatic gonad development variant, pathogen avoidance variant, pattern of transgene expression variant, protein degradation variant, reduced brood size, slow growth, transgene expression increased","aboc expulsion missing, axon regeneration enhanced, constipated, defecation variant, fat content reduced, pathogen avoidance variant, protein degradation variant"
WBGene00000089,"expulsion variant, larval arrest, locomotion variant, protruding vulva, reduced brood size","aboc expulsion missing, axon regeneration enhanced, constipated, defecation variant, egg laying defective, sluggish"
WBGene00000090,"coelomocyte uptake increased, extended life span, locomotion variant, protein aggregation variant, protein expression reduced, protein subcellular localization variant, transgene expression increased","aging variant, aldicarb hypersensitive, cadmium hypersensitive, cadmium resistant, cold resistant, conflicting sensory integration variant, dauer constitutive, dauer development phenotype, dauer nictation behavior variant, DMPP resistant, egg laying variant, enhanced taste aversion defective, extended life span, fat content increased, hermaphrodite fertility variant, levamisole hypersensitive, life span phenotype, locomotion variant, mitochondrial metabolism variant, negative chemotaxis variant, organism physiology phenotype, organism starvation response variant, paraquat resistant, pathogen resistance increased, protein degradation variant, reproductive longevity extended, resistant to copper, RNAi enhanced, selenium response variant, thermotolerance increased, transgene subcellular localization variant"
WBGene00000091,"extended life span, fertility reduced, general pace of development variant, thrashing increased",N.A.
WBGene00000092,"cell death variant, embryonic lethal","lethal, sterile"
WBGene00000093,no induction of antimicrobial peptide expression after infection,N.A.
WBGene00000094,embryonic lethal,N.A.
WBGene00000095,"accumulated germline cell corpses, developmental delay, dumpy, gene expression level reduced, hypoxia hypersensitive, lethal, locomotion variant, mRNA levels reduced, shortened life span, slow growth, sluggish, transgene expression increased, transgene expression reduced","early larval arrest, larval lethal, motor neuron morphology variant, neurite connectivity defective"
WBGene00000096,"male tail morphology variant, tail morphology variant","extended life span, motor neuron morphology variant, neurite connectivity defective, neuronal cell fate specification variant, synaptogenesis variant"
WBGene00000097,"arsenic hypersensitive, arsenite hypersensitive, chemical hypersensitive, hypersensitive to protein aggregation induced paralysis, organism toxic chemical response variant, paralyzed, peptide uptake by intestinal cell decreased, protein aggregation variant, protein ubiquitination variant, shortened life span, transgene expression increased",N.A.
WBGene00000098,"accumulated germline cell corpses, anaphase bridging, aneuploidy, antibody subcellular localization variant, apoptosis increased, cell membrane organization biogenesis variant, centrosome biogenesis variant, chromosome alignment variant, chromosome condensation failure, chromosome disjunction defective, chromosome morphology variant, chromosome segregation variant, cytokinesis fails early emb, ectopic cleavage furrow early emb, embryonic arrest, embryonic lethal, excessive blebbing early emb, germ cell compartment expansion variant, germ cell compartment multinucleate, germ cell compartment size variant, germline nuclear positioning variant, maternal sterile, microtubule nucleation variant, microtubule organization biogenesis variant, mitosis variant, mitotic spindle asters defective early emb, multiple nuclei early emb, nuclear appearance variant, nuclear number defective early emb, nuclear position defective early emb, nuclei enlarged, nucleus defective early emb, oocyte morphology variant, oocyte septum formation variant, P granule localization defective, P0 spindle position abnormal, parental chromosome mixing defective, polar body defective early emb, pronuclei meet centrally early emb, protein expression reduced, protein subcellular localization variant, pseudocleavage exaggerated early emb, rachis morphology variant, spindle assembly defective early emb, spindle defective early emb, spindle elongation integrity defective early emb, spindle orientation variant AB or P1 early emb, spindle position orientation defective early emb, sterile, synchronous second division early emb","embryonic lethal, lethal, maternal effect lethal emb, roller, sterile"
WBGene00000099,"anaphase bridging, antibody staining reduced, antibody subcellular localization variant, aster defective early emb, chromosome alignment variant, chromosome condensation variant, chromosome segregation variant, cleavage furrow defective, cleavage furrow initiation defective early emb, cleavage furrow termination defective early emb, cytokinesis defective early emb, cytokinesis fails early emb, cytokinesis variant, early embryonic lethal, embryonic lethal, germ cell development variant, germ cell morphology variant, gonad development variant, locomotion variant, male gonad development variant, male somatic gonad development variant, meiosis defective early emb, meiosis variant, meiotic chromosome segregation variant, meiotic spindle defective early emb, mitosis variant, mitotic chromosome segregation variant, mitotic spindle defective early emb, multiple nuclei early emb, no polar body formation, one cell arrest early emb, pattern of transgene expression variant, polar body defective early emb, polar body extrusion defective early emb, polar body number defective early emb, pronuclear morphology defective early emb, pronuclear size defective early emb, protein expression reduced, protein phosphorylation reduced, protein phosphorylation variant, protein protein interaction variant, protein subcellular localization variant, protruding vulva, reduced brood size, sister chromatid segregation defective early emb, spindle elongation integrity defective early emb, spindle position orientation defective early emb, sterile","adult development variant, cytokinesis variant, embryonic lethal, gonad development variant, lethal, mitotic chromosome segregation variant, protein phosphorylation reduced, protein subcellular localization variant, sterile, tumorous germline, vulvaless"
WBGene00000100,"dead eggs laid, ectopic expression transgene, embryonic lethal, gonad development variant, increased susceptibility to bacterial pathogens, locomotion variant, multivulva, pattern of transgene expression variant, protein expression variant, slow growth",N.A.
WBGene00000101,organism oxidative stress resistant,N.A.
WBGene00000102,"accumulated germline cell corpses, body wall muscle sarcomere morphology variant, dauer constitutive, dauer development phenotype, dauer formation variant, embryonic lethal, extended life span, gene expression level high, germ cell hypersensitive ionizing radiation, life span phenotype, mitochondria alignment variant, organism development variant, paraquat resistant, pathogen resistance increased, protein expression reduced, protein interaction variant, protein phosphorylation increased, protein subcellular localization variant, transgene expression increased, transgene subcellular localization variant","carbon dioxide avoidance variant, conflicting sensory integration variant, dauer development phenotype, dauer nictation behavior variant, developmental delay, enhanced taste aversion defective, extended life span, fat content increased, gene expression level high, germ cell hypersensitive ionizing radiation, germ cell resistant ionizing radiation, hypersensitivity to mutagen, mechanosensation variant, mitochondrial content decreased, mRNA levels increased, negative chemotaxis variant, protein degradation variant, protein expression increased, protein phosphorylation reduced, protein stabilization variant, protein subcellular localization variant, resistant to mutagens, selenium response variant, temperature induced dauer formation increased, transgene expression increased, transgene subcellular localization variant"
WBGene00000103,"dauer constitutive, dauer formation variant, extended life span, paraquat resistant, pathogen resistance increased, protein phosphorylation reduced, protein subcellular localization variant, transgene expression increased, transgene subcellular localization variant","conflicting sensory integration variant, extended life span, fat content increased, germ cell hypersensitive ionizing radiation, hypersensitivity to mutagen"
WBGene00000104,"AB lineage variant, antibody staining variant, D lineage variant, embryonic arrest",N.A.
WBGene00000105,"alae absent, alae morphology variant, alae variant, avoids bacterial lawn, breaks in alae, cell differentiation variant, clear, cytoplasmic processing body variant, developmental timing variant, embryonic arrest, embryonic lethal, excess intestinal cells, excess seam cells, exploded through vulva, germ cell development variant, larval lethal, lethal, level of protein expression variant, locomotion variant, miRNA expression variant, molt defect, mRNA deadenylation variant, nuclear division variant, nuclear number variant, paralyzed, pre miRNA processing defective, protein aggregation variant, protruding vulva, retarded heterochronic variations, retarded seam cell fusion, RNA expression variant, slow growth, small, somatic transgene silencing variant, sterile, transgene expression increased, transgene expression variant, transgene subcellular localization variant, vulva cell fate specification variant","adult lethal, alae absent, alae morphology variant, bloated, breaks in alae, exploded through vulva, larval development retarded, lethal, miRNA expression variant, organism heat hypersensitive, organism oxidative stress response hypersensitive, paraquat hypersensitive, protein degradation variant, protein RNA interaction variant, reduced brood size, retarded heterochronic variations, RNAi enhanced, shortened life span, sick, sluggish, sterile"
WBGene00000106,"age associated fluorescence increased, embryonic arrest, embryonic lethal, larval lethal, lethal, miRNA expression variant, pre miRNA processing defective, protein degradation variant, protein stabilization variant, shortened life span, sterile","alae absent, alae morphology variant, dsRNA processing defective, miRNA expression variant, organism heat hypersensitive, organism oxidative stress response hypersensitive, paraquat hypersensitive, pre miRNA processing defective, protein degradation variant, protein RNA interaction variant, shortened life span"
WBGene00000107,"fat content increased, organism homeostasis metabolism variant, organism oxidative stress resistant, transgene expression increased","lethal, sterile"
WBGene00000108,N.A.,N.A.
WBGene00000109,N.A.,"oocyte number decreased, reduced brood size"
WBGene00000110,"adult lethal, avoids bacterial lawn, embryonic lethal, extended life span, larval lethal, lysosome-related organelle morphology variant, maternal sterile, no induction of antimicrobial peptide expression after infection, RAB-11 recycling endosome morphology variant, slow growth, transgene expression increased, transgene expression reduced, transgene subcellular localization variant",N.A.
WBGene00000111,N.A.,N.A.
WBGene00000112,"development phenotype, levamisole resistant, locomotion variant, locomotor coordination variant, lysosome-related organelle morphology variant, pattern of transgene expression variant, RAB-11 recycling endosome localization variant, receptor mediated endocytosis defective, resistant to bioactive compound, slow growth, sluggish, sterile progeny, transgene expression increased, transgene expression reduced, transgene subcellular localization variant",resistant to bioactive compound
WBGene00000113,"embryonic lethal, larval arrest, locomotion variant",N.A.
WBGene00000114,N.A.,"embryonic arrest, L1 arrest"
WBGene00000115,N.A.,N.A.
WBGene00000116,"organism homeostasis metabolism variant, organism pathogen response variant, tail swelling",N.A.
WBGene00000117,N.A.,N.A.
WBGene00000118,N.A.,N.A.
WBGene00000119,"alae absent, alae morphology variant",N.A.
WBGene00000120,locomotion variant,N.A.
WBGene00000121,"locomotion variant, sterile progeny",mRNA export variant
WBGene00000122,locomotion variant,N.A.
WBGene00000123,"antibody staining reduced, asymmetric cell division variant, cell division precocious, development phenotype, early exit cell cycle, embryonic arrest, embryonic lethal, fewer eggs laid, gamma ray induced apoptosis decreased, hatching variant, L1 arrest, larval arrest, lethal, maternal effect sterile, maternal sterile, mitotic spindle defective early emb, pattern protein expression variant, protein aggregation variant, protein expression absent, protein methylation variant, protein phosphorylation reduced, shortened life span, sick, slow embryonic development, slow growth, spindle elongation integrity defective early emb, sterile, terminal arrest variable, transgene expression reduced, transgene expression undetectable, transgene subcellular localization variant","alpha amanitin resistant, early larval arrest, embryonic arrest, embryonic lethal, fertility reduced, gastrulation variant, L1 arrest, L1 lethal, larval arrest, lethal, maternal effect lethal emb, reduced brood size, sterile"
WBGene00000124,"alpha amanitin resistant, lethal, mid larval arrest",N.A.
WBGene00000125,N.A.,"maternal effect lethal emb, pattern of transgene expression variant"
WBGene00000126,N.A.,"maternal effect lethal emb, pattern of transgene expression variant"
WBGene00000127,N.A.,maternal effect lethal emb
WBGene00000128,N.A.,"maternal effect lethal emb, transgene expression reduced"
WBGene00000129,N.A.,maternal effect lethal emb
WBGene00000130,maternal effect lethal emb,N.A.
WBGene00000131,N.A.,"ectopic expression transgene, maternal effect lethal emb"
WBGene00000132,N.A.,"ectopic expression transgene, maternal effect lethal emb, transgene expression reduced"
WBGene00000133,N.A.,N.A.
WBGene00000134,extended life span,N.A.
WBGene00000135,N.A.,N.A.
WBGene00000136,N.A.,N.A.
WBGene00000137,"dauer lifespan extended, organism development variant, shortened life span",organism UV resistant
WBGene00000138,N.A.,"constitutive egg laying, metabolite content decreased, serotonin metabolism variant"
WBGene00000139,shortened life span,N.A.
WBGene00000140,"embryonic lethal, larval arrest, larval lethal, molt defect, nuclear anchoring variant, slow growth","axon termination defective, cytoskeleton organization biogenesis variant, nuclear anchoring variant, pronuclear migration defective early emb"
WBGene00000141,N.A.,N.A.
WBGene00000142,"embryonic lethal, germ cell compartment anucleate, germ cell compartment morphology variant, larval arrest, multiple cytoplasmic cavities early emb, oocytes lack nucleus, oogenesis variant, P0 spindle position abnormal, P0 spindle rotation failure early emb, pronuclear size defective early emb, reduced brood size, slow embryonic development, sterile",N.A.
WBGene00000143,"distal tip cell migration variant, embryo osmotic integrity defective early emb, embryonic lethal, germline nuclear positioning variant, oocyte number decreased, passage through meiosis defective early emb, pattern of transgene expression variant, protruding vulva, receptor mediated endocytosis defective, sterile, sterile progeny",N.A.
WBGene00000144,"larval arrest, locomotion variant",N.A.
WBGene00000145,"cell membrane organization biogenesis variant, early embryonic lethal, early larval lethal, embryonic lethal, lethal, multivulva, oocyte number decreased, oogenesis variant, passage through meiosis defective early emb, polar body number defective early emb, Q neuroblast lineage migration variant, rachis morphology variant, sterile","aneuploidy, gonad morphology variant"
WBGene00000146,"apoptosis increased, apoptosis variant, cell death variant","apoptosis increased, lethal, organism ionizing radiation response variant, sterile"
WBGene00000147,"anterior enclosure defective, anterior pharynx variant, comma arrest emb, dorsal intercalation defective, embryonic cell fate specification variant, embryonic lethal, hypodermis development variant, lima bean arrest, locomotion variant, maternal effect lethal emb, neuron development variant, no anterior pharynx, one point five fold arrest emb, organism development variant, population fitness phenotype, seam cell morphology variant, three fold arrest, two fold arrest, ventral closure defective","antibody subcellular localization variant, egg laying defective, embryonic arrest, embryonic development variant, embryonic lethal, excess hypodermal cells, lethal, maternal effect lethal emb, no anterior pharynx, sterile, ventral enclosure variant"
WBGene00000148,"egg laying variant, embryonic lethal, extended life span, maternal effect lethal emb, no anterior pharynx, organism development variant","excess hypodermal cells, lethal, maternal effect lethal emb, muscle excess, sterile"
WBGene00000149,"alae variant, clear, developmental timing variant, embryonic lethal, gene expression level high, gene expression level reduced, L4 adult molt defect, larval arrest, locomotion variant, maternal sterile, pharyngeal pumping increased, precocious alae, precocious seam cell fusion, retarded heterochronic variations, sluggish, small, three fold arrest","body vacuole, cuticle attachment variant, early embryonic lethal, egg laying defective, egg retention, embryonic lethal, L1 lethal, larval body morphology variant, larval lethal, molt defect, organism physiology phenotype, posterior body morphology variant, short, shortened life span, slow development, sodium acetate adaptation defective, sodium chloride chemotaxis defective"
WBGene00000150,"aldicarb resistant, avoids bacterial lawn, cytoplasmic processing body variant, early larval arrest, foraging behavior variant, head movement decreased, intestinal morphology variant, L1 arrest, larval arrest, larval lethal, locomotion variant, peptide uptake by intestinal cell decreased, pharyngeal pumping reduced, protein secretion variant, reduced brood size, sick, slow growth, sterile, tail movement decreased, transgene expression reduced, transgene subcellular localization variant","early larval lethal, lethal"
WBGene00000151,"accumulated germline cell corpses, apoptosis increased, cell cycle delayed, cell cycle slow early emb, embryonic lethal, hypersensitivity to mutagen, reduced brood size, spontaneous mutation rate increased",N.A.
WBGene00000152,spindle position variant,N.A.
WBGene00000153,spindle position variant,N.A.
WBGene00000154,"cleavage furrow defective, spindle position variant",N.A.
WBGene00000155,N.A.,N.A.
